date,feels_like,heat_index,hour,precipitation,sunrise,sunset,temperature,weather_description
2018-04-01,62,62,0,0.0,07:20 AM,07:50 PM,62,Cloudy
2018-04-01,62,62,100,0.0,07:20 AM,07:50 PM,62,Cloudy
2018-04-01,61,62,200,0.0,07:20 AM,07:50 PM,62,Patchy rain possible
2018-04-01,61,61,300,0.0,07:20 AM,07:50 PM,61,Patchy rain possible
2018-04-01,61,61,400,0.0,07:20 AM,07:50 PM,61,Patchy rain possible
2018-04-01,61,61,500,0.0,07:20 AM,07:50 PM,61,Cloudy
2018-04-01,61,62,600,0.0,07:20 AM,07:50 PM,61,Cloudy
2018-04-01,63,64,700,0.0,07:20 AM,07:50 PM,63,Cloudy
2018-04-01,64,66,800,0.1,07:20 AM,07:50 PM,65,Patchy rain possible
2018-04-01,66,67,900,0.1,07:20 AM,07:50 PM,67,Patchy rain possible
2018-04-01,69,71,1000,0.1,07:20 AM,07:50 PM,69,Patchy rain possible
2018-04-01,74,74,1100,0.0,07:20 AM,07:50 PM,72,Cloudy
2018-04-01,78,78,1200,0.0,07:20 AM,07:50 PM,75,Cloudy
2018-04-01,78,78,1300,0.0,07:20 AM,07:50 PM,75,Cloudy
2018-04-01,79,79,1400,0.0,07:20 AM,07:50 PM,76,Patchy rain possible
2018-04-01,79,79,1500,0.1,07:20 AM,07:50 PM,76,Patchy rain possible
2018-04-01,78,78,1600,0.0,07:20 AM,07:50 PM,75,Patchy rain possible
2018-04-01,76,76,1700,0.0,07:20 AM,07:50 PM,74,Patchy rain possible
2018-04-01,75,75,1800,0.0,07:20 AM,07:50 PM,72,Patchy rain possible
2018-04-01,70,72,1900,0.0,07:20 AM,07:50 PM,70,Patchy rain possible
2018-04-01,68,69,2000,0.4,07:20 AM,07:50 PM,68,Heavy rain at times
2018-04-01,65,67,2100,0.5,07:20 AM,07:50 PM,65,Heavy rain at times
2018-04-01,64,66,2200,0.3,07:20 AM,07:50 PM,65,Heavy rain at times
2018-04-01,64,65,2300,0.0,07:20 AM,07:50 PM,64,Cloudy
2018-04-02,63,64,0,0.0,07:19 AM,07:51 PM,63,Cloudy
2018-04-02,63,63,100,0.0,07:19 AM,07:51 PM,63,Cloudy
2018-04-02,63,63,200,0.1,07:19 AM,07:51 PM,63,Patchy rain possible
2018-04-02,63,63,300,0.1,07:19 AM,07:51 PM,63,Patchy rain possible
2018-04-02,63,63,400,0.0,07:19 AM,07:51 PM,63,Patchy rain possible
2018-04-02,63,63,500,0.0,07:19 AM,07:51 PM,63,Overcast
2018-04-02,63,63,600,0.0,07:19 AM,07:51 PM,63,Overcast
2018-04-02,64,65,700,0.0,07:19 AM,07:51 PM,64,Overcast
2018-04-02,65,66,800,0.6,07:19 AM,07:51 PM,65,Moderate or heavy rain shower
2018-04-02,66,68,900,0.7,07:19 AM,07:51 PM,66,Moderate or heavy rain shower
2018-04-02,68,70,1000,0.4,07:19 AM,07:51 PM,68,Moderate or heavy rain shower
2018-04-02,70,72,1100,0.0,07:19 AM,07:51 PM,70,Cloudy
2018-04-02,74,74,1200,0.0,07:19 AM,07:51 PM,72,Cloudy
2018-04-02,75,75,1300,0.0,07:19 AM,07:51 PM,73,Cloudy
2018-04-02,77,77,1400,0.1,07:19 AM,07:51 PM,74,Patchy rain possible
2018-04-02,78,78,1500,0.1,07:19 AM,07:51 PM,75,Patchy rain possible
2018-04-02,77,77,1600,0.1,07:19 AM,07:51 PM,74,Patchy rain possible
2018-04-02,76,76,1700,0.0,07:19 AM,07:51 PM,73,Partly cloudy
2018-04-02,75,75,1800,0.0,07:19 AM,07:51 PM,72,Partly cloudy
2018-04-02,70,72,1900,0.0,07:19 AM,07:51 PM,70,Partly cloudy
2018-04-02,68,70,2000,0.2,07:19 AM,07:51 PM,67,Moderate rain at times
2018-04-02,65,67,2100,0.2,07:19 AM,07:51 PM,65,Moderate rain at times
2018-04-02,64,66,2200,0.1,07:19 AM,07:51 PM,64,Moderate rain at times
2018-04-02,63,64,2300,0.0,07:19 AM,07:51 PM,63,Partly cloudy
2018-04-03,62,63,0,0.0,07:18 AM,07:51 PM,61,Partly cloudy
2018-04-03,61,62,100,0.0,07:18 AM,07:51 PM,61,Partly cloudy
2018-04-03,60,61,200,0.2,07:18 AM,07:51 PM,60,Moderate rain at times
2018-04-03,59,60,300,0.3,07:18 AM,07:51 PM,59,Moderate rain at times
2018-04-03,59,60,400,0.1,07:18 AM,07:51 PM,59,Moderate rain at times
2018-04-03,59,60,500,0.0,07:18 AM,07:51 PM,59,Cloudy
2018-04-03,59,60,600,0.0,07:18 AM,07:51 PM,58,Cloudy
2018-04-03,61,62,700,0.0,07:18 AM,07:51 PM,61,Cloudy
2018-04-03,64,65,800,0.0,07:18 AM,07:51 PM,63,Patchy rain possible
2018-04-03,66,68,900,0.0,07:18 AM,07:51 PM,66,Patchy rain possible
2018-04-03,68,70,1000,0.0,07:18 AM,07:51 PM,68,Patchy rain possible
2018-04-03,71,73,1100,0.0,07:18 AM,07:51 PM,71,Cloudy
